DIST,AMP,TEMP,VOLT,Timestamp
-0011,1766,1199,106,2024-12-30 05:58:56.919295
15653,1749,1199,106,2024-12-30 05:58:56.932344
19284,0000,1199,106,2024-12-30 05:58:56.948333
03069,0000,1199,106,2024-12-30 05:58:56.964142
01506,0000,1199,106,2024-12-30 05:58:56.980135
32175,0001,1199,106,2024-12-30 05:58:56.996125
00092,0000,1199,106,2024-12-30 05:58:57.028117
51495,0000,1199,106,2024-12-30 05:58:57.044243
03576,0000,1199,106,2024-12-30 05:58:57.060157
04531,0000,1199,106,2024-12-30 05:58:57.076113
60984,0000,1199,106,2024-12-30 05:58:57.092107
31692,0000,1199,106,2024-12-30 05:58:57.108099
00615,0000,1199,106,2024-12-30 05:58:57.124097
01808,0000,1199,106,2024-12-30 05:58:57.140096
01931,0000,1199,106,2024-12-30 05:58:57.156105
20391,0000,1199,106,2024-12-30 05:58:57.187566
24370,0000,1199,106,2024-12-30 05:58:57.204087
07618,0000,1199,106,2024-12-30 05:58:57.220087
21636,0000,1199,106,2024-12-30 05:58:57.236075
03865,0000,1199,106,2024-12-30 05:58:57.252087
12568,0000,1199,106,2024-12-30 05:58:57.268063
30091,0000,1199,106,2024-12-30 05:58:57.284068
53179,0000,1199,106,2024-12-30 05:58:57.300078
16709,0000,1199,106,2024-12-30 05:58:57.316084
02504,0000,1199,106,2024-12-30 05:58:57.332058
51336,0000,1199,106,2024-12-30 05:58:57.363947
03940,0000,1199,106,2024-12-30 05:58:57.380057
08774,0000,1198,106,2024-12-30 05:58:57.396050
02332,0000,1199,106,2024-12-30 05:58:57.412050
01469,0000,1199,106,2024-12-30 05:58:57.428083
05407,0000,1199,106,2024-12-30 05:58:57.444032
05313,0000,1199,106,2024-12-30 05:58:57.460044
23913,0000,1199,106,2024-12-30 05:58:57.476033
01526,0000,1199,106,2024-12-30 05:58:57.492033
19339,0000,1199,106,2024-12-30 05:58:57.523589
30190,0000,1199,106,2024-12-30 05:58:57.540029
04606,0000,1199,106,2024-12-30 05:58:57.556032
28267,0000,1199,106,2024-12-30 05:58:57.572019
03818,0000,1199,106,2024-12-30 05:58:57.588017
49112,0000,1199,106,2024-12-30 05:58:57.604013
05085,0000,1199,106,2024-12-30 05:58:57.620012
02929,0000,1199,106,2024-12-30 05:58:57.636007
05133,0000,1199,106,2024-12-30 05:58:57.652007
00124,0000,1199,106,2024-12-30 05:58:57.667995
03675,0000,1199,106,2024-12-30 05:58:57.699966
04413,0000,1199,106,2024-12-30 05:58:57.715991
05475,0000,1199,106,2024-12-30 05:58:57.731985
40242,0000,1199,106,2024-12-30 05:58:57.747984
01806,0001,1199,106,2024-12-30 05:58:57.763978
01294,0000,1199,106,2024-12-30 05:58:57.779970
02295,0000,1198,106,2024-12-30 05:58:57.795978
19494,0000,1199,106,2024-12-30 05:58:57.811976
13965,0000,1199,106,2024-12-30 05:58:57.827981
66685,0000,1199,106,2024-12-30 05:58:57.859612
03804,0000,1199,106,2024-12-30 05:58:57.876019
03595,0000,1199,106,2024-12-30 05:58:57.891957
33791,0000,1199,106,2024-12-30 05:58:57.907948
18099,0000,1199,106,2024-12-30 05:58:57.923951
03812,0000,1199,106,2024-12-30 05:58:57.939945
54211,0000,1199,106,2024-12-30 05:58:57.955953
03801,0000,1198,106,2024-12-30 05:58:57.971938
03527,0000,1199,106,2024-12-30 05:58:57.987945
05440,0000,1199,106,2024-12-30 05:58:58.019249
03654,0000,1199,106,2024-12-30 05:58:58.035929
02013,0000,1198,106,2024-12-30 05:58:58.051937
48912,0001,1199,106,2024-12-30 05:58:58.067922
54353,0000,1199,106,2024-12-30 05:58:58.083929
22946,0001,1199,106,2024-12-30 05:58:58.099916
45051,0000,1199,106,2024-12-30 05:58:58.115918
01512,0000,1199,106,2024-12-30 05:58:58.131911
04391,0000,1199,106,2024-12-30 05:58:58.147899
21586,0000,1199,106,2024-12-30 05:58:58.163898
45845,0000,1199,106,2024-12-30 05:58:58.195629
04663,0000,1199,106,2024-12-30 05:58:58.211890
04962,0000,1199,106,2024-12-30 05:58:58.227905
13089,0000,1199,106,2024-12-30 05:58:58.243899
03851,0001,1198,106,2024-12-30 05:58:58.259885
07113,0000,1199,106,2024-12-30 05:58:58.275873
13039,0000,1199,106,2024-12-30 05:58:58.291873
59905,0000,1199,106,2024-12-30 05:58:58.307868
06598,0000,1199,106,2024-12-30 05:58:58.323868
01542,0000,1198,106,2024-12-30 05:58:58.355273
02860,0000,1199,106,2024-12-30 05:58:58.371859
53097,0000,1199,106,2024-12-30 05:58:58.387858
28466,0000,1199,106,2024-12-30 05:58:58.403856
36493,0000,1199,106,2024-12-30 05:58:58.419855
02546,0000,1199,106,2024-12-30 05:58:58.435845
01552,0001,1199,106,2024-12-30 05:58:58.451855
06250,0000,1198,106,2024-12-30 05:58:58.467842
04673,0000,1199,106,2024-12-30 05:58:58.483842
03340,0000,1199,106,2024-12-30 05:58:58.499836
52339,0000,1199,106,2024-12-30 05:58:58.531673
00747,0000,1198,106,2024-12-30 05:58:58.547835
26541,0000,1199,106,2024-12-30 05:58:58.563824
26374,0000,1198,106,2024-12-30 05:58:58.579810
03807,0000,1198,106,2024-12-30 05:58:58.595822
57306,0000,1198,106,2024-12-30 05:58:58.611816
43756,0000,1198,106,2024-12-30 05:58:58.627820
11641,0000,1198,106,2024-12-30 05:58:58.643822
15477,0000,1198,106,2024-12-30 05:58:58.659831
01433,0000,1199,106,2024-12-30 05:58:58.691322
00533,0000,1198,106,2024-12-30 05:58:58.707831
09364,0000,1199,106,2024-12-30 05:58:58.723830
03032,0000,1198,106,2024-12-30 05:58:58.739841
06258,0000,1198,106,2024-12-30 05:58:58.755834
05399,0000,1199,106,2024-12-30 05:58:58.771838
33212,0001,1198,106,2024-12-30 05:58:58.787842
24612,0000,1199,106,2024-12-30 05:58:58.803845
02823,0000,1199,106,2024-12-30 05:58:58.819771
03837,0000,1198,106,2024-12-30 05:58:58.835783
05426,0000,1198,106,2024-12-30 05:58:58.867692
17240,0000,1198,106,2024-12-30 05:58:58.883768
03537,0000,1198,106,2024-12-30 05:58:58.899761
18691,0000,1198,106,2024-12-30 05:58:58.915754
39982,0000,1198,106,2024-12-30 05:58:58.931756
10649,0000,1199,106,2024-12-30 05:58:58.947749
13763,0000,1199,106,2024-12-30 05:58:58.963750
08262,0000,1199,106,2024-12-30 05:58:58.979740
02314,0001,1198,106,2024-12-30 05:58:58.995745
04579,0000,1198,106,2024-12-30 05:58:59.027328
10093,0000,1198,106,2024-12-30 05:58:59.043730
03980,0000,1199,106,2024-12-30 05:58:59.059723
06856,0000,1199,106,2024-12-30 05:58:59.075727
58525,0000,1198,106,2024-12-30 05:58:59.091718
21008,0000,1198,106,2024-12-30 05:58:59.107716
01837,0000,1198,106,2024-12-30 05:58:59.123720
27986,0000,1199,106,2024-12-30 05:58:59.139722
00545,0000,1198,106,2024-12-30 05:58:59.155705
28546,0001,1198,106,2024-12-30 05:58:59.171703
09299,0000,1198,106,2024-12-30 05:58:59.203706
07551,0000,1198,106,2024-12-30 05:58:59.219697
04645,0000,1199,106,2024-12-30 05:58:59.235701
50591,0000,1198,106,2024-12-30 05:58:59.251703
04770,0000,1198,106,2024-12-30 05:58:59.267699
22750,0000,1199,106,2024-12-30 05:58:59.283682
04621,0000,1198,106,2024-12-30 05:58:59.299683
03991,0000,1198,106,2024-12-30 05:58:59.315681
00486,0000,1198,106,2024-12-30 05:58:59.331684
26687,0000,1198,106,2024-12-30 05:58:59.363352
04648,0000,1199,106,2024-12-30 05:58:59.379667
04588,0000,1198,106,2024-12-30 05:58:59.395668
47112,0000,1198,106,2024-12-30 05:58:59.411674
03020,0000,1198,106,2024-12-30 05:58:59.427659
00057,0000,1198,106,2024-12-30 05:58:59.443661
05132,0000,1198,106,2024-12-30 05:58:59.459652
01819,0000,1198,106,2024-12-30 05:58:59.475652
03795,0000,1198,106,2024-12-30 05:58:59.491644
37705,0000,1198,106,2024-12-30 05:58:59.522990
10883,0000,1198,106,2024-12-30 05:58:59.539631
04580,0000,1198,106,2024-12-30 05:58:59.555636
40997,0000,1198,106,2024-12-30 05:58:59.571623
30722,0000,1198,106,2024-12-30 05:58:59.587630
03889,0000,1198,106,2024-12-30 05:58:59.603619
06210,0000,1198,106,2024-12-30 05:58:59.619629
29580,0000,1198,106,2024-12-30 05:58:59.635616
39441,0000,1198,106,2024-12-30 05:58:59.651618
04552,0000,1199,106,2024-12-30 05:58:59.667605
05136,0000,1199,106,2024-12-30 05:58:59.699393
01582,0000,1198,106,2024-12-30 05:58:59.715612
10806,0000,1198,106,2024-12-30 05:58:59.731593
04561,0000,1199,106,2024-12-30 05:58:59.747600
13886,0000,1198,106,2024-12-30 05:58:59.763588
24168,0000,1198,106,2024-12-30 05:58:59.779592
21804,0000,1198,106,2024-12-30 05:58:59.795591
49037,0000,1198,106,2024-12-30 05:58:59.811575
46450,0000,1198,106,2024-12-30 05:58:59.827578
02741,0000,1198,106,2024-12-30 05:58:59.859020
00616,0000,1198,106,2024-12-30 05:58:59.875572
24465,0000,1198,106,2024-12-30 05:58:59.891568
11290,0000,1198,106,2024-12-30 05:58:59.907571
04468,0000,1198,106,2024-12-30 05:58:59.923572
15655,0000,1199,106,2024-12-30 05:58:59.939553
40263,0000,1198,106,2024-12-30 05:58:59.955562
01767,0000,1198,106,2024-12-30 05:58:59.971554
14821,0001,1198,106,2024-12-30 05:58:59.987560
17291,0000,1198,106,2024-12-30 05:59:00.003544
04658,0000,1198,106,2024-12-30 05:59:00.035393
03264,0000,1198,106,2024-12-30 05:59:00.051537
24830,0000,1198,106,2024-12-30 05:59:00.067527
17459,0000,1198,106,2024-12-30 05:59:00.083523
08404,0000,1199,106,2024-12-30 05:59:00.099530
11561,0000,1198,106,2024-12-30 05:59:00.115517
20805,0000,1198,106,2024-12-30 05:59:00.131527
09812,0000,1198,106,2024-12-30 05:59:00.147515
10049,0000,1198,106,2024-12-30 05:59:00.163507
21169,0000,1198,106,2024-12-30 05:59:00.195042
00654,0000,1199,106,2024-12-30 05:59:00.211495
06107,0000,1198,106,2024-12-30 05:59:00.227496
04073,0000,1198,106,2024-12-30 05:59:00.243586
49180,0000,1198,106,2024-12-30 05:59:00.259504
67505,0001,1198,106,2024-12-30 05:59:00.275483
03919,0000,1198,106,2024-12-30 05:59:00.291494
31481,0000,1198,106,2024-12-30 05:59:00.307503
30849,0000,1198,106,2024-12-30 05:59:00.323482
14041,0000,1198,106,2024-12-30 05:59:00.339484
23882,0000,1198,106,2024-12-30 05:59:00.371438
