DIST,AMP,TEMP,VOLT,Timestamp
-0006,0277,1199,106,2024-12-30 04:35:50.736579
24826,0146,1199,106,2024-12-30 04:35:50.752567
04319,0000,1199,106,2024-12-30 04:35:50.784450
31371,0000,1199,106,2024-12-30 04:35:50.800437
03171,0000,1199,106,2024-12-30 04:35:50.816418
04305,0001,1199,106,2024-12-30 04:35:50.832562
03663,0000,1199,106,2024-12-30 04:35:50.848591
05050,0000,1200,106,2024-12-30 04:35:50.864502
00944,0000,1199,106,2024-12-30 04:35:50.880418
56754,0000,1199,106,2024-12-30 04:35:50.896399
01862,0000,1199,106,2024-12-30 04:35:50.912404
28162,0000,1199,106,2024-12-30 04:35:50.944031
11045,0000,1199,106,2024-12-30 04:35:50.960401
02165,0000,1199,106,2024-12-30 04:35:50.976379
03807,0000,1199,106,2024-12-30 04:35:50.992374
28625,0000,1199,106,2024-12-30 04:35:51.008371
25159,0000,1199,106,2024-12-30 04:35:51.024372
19939,0000,1199,106,2024-12-30 04:35:51.040366
21411,0000,1199,106,2024-12-30 04:35:51.056370
02316,0000,1199,106,2024-12-30 04:35:51.072370
15477,0000,1199,106,2024-12-30 04:35:51.088370
45514,0000,1199,106,2024-12-30 04:35:51.120356
11072,0000,1199,106,2024-12-30 04:35:51.136350
19582,0000,1199,106,2024-12-30 04:35:51.152350
04443,0000,1199,106,2024-12-30 04:35:51.168345
37848,0000,1199,106,2024-12-30 04:35:51.184348
30367,0000,1199,106,2024-12-30 04:35:51.200338
01168,0000,1199,106,2024-12-30 04:35:51.216355
00470,0000,1199,106,2024-12-30 04:35:51.232338
03254,0000,1199,106,2024-12-30 04:35:51.248407
14585,0000,1199,106,2024-12-30 04:35:51.280075
04654,0000,1199,106,2024-12-30 04:35:51.296333
11890,0000,1199,106,2024-12-30 04:35:51.312317
02020,0000,1199,106,2024-12-30 04:35:51.328339
00082,0000,1199,106,2024-12-30 04:35:51.344325
14046,0000,1199,106,2024-12-30 04:35:51.360324
01505,0001,1199,106,2024-12-30 04:35:51.376303
01452,0000,1199,106,2024-12-30 04:35:51.392319
20563,0000,1199,106,2024-12-30 04:35:51.408308
05132,0000,1199,106,2024-12-30 04:35:51.439690
03963,0000,1199,106,2024-12-30 04:35:51.456304
34715,0000,1199,106,2024-12-30 04:35:51.472303
14246,0000,1199,106,2024-12-30 04:35:51.488294
05202,0000,1199,106,2024-12-30 04:35:51.504282
03824,0000,1199,106,2024-12-30 04:35:51.520277
30318,0000,1199,106,2024-12-30 04:35:51.536278
02155,0000,1199,106,2024-12-30 04:35:51.552269
04068,0000,1199,106,2024-12-30 04:35:51.568272
04512,0000,1199,106,2024-12-30 04:35:51.584267
04238,0000,1199,106,2024-12-30 04:35:51.616084
02943,0000,1199,106,2024-12-30 04:35:51.632258
20922,0000,1199,106,2024-12-30 04:35:51.648246
10616,0000,1199,106,2024-12-30 04:35:51.664264
11197,0000,1199,106,2024-12-30 04:35:51.680248
01914,0000,1199,106,2024-12-30 04:35:51.696251
30960,0000,1199,106,2024-12-30 04:35:51.712244
03024,0000,1199,106,2024-12-30 04:35:51.728241
39389,0000,1199,106,2024-12-30 04:35:51.744249
02040,0000,1199,106,2024-12-30 04:35:51.775716
27228,0000,1199,106,2024-12-30 04:35:51.792220
02525,0000,1199,106,2024-12-30 04:35:51.808221
17064,0000,1199,106,2024-12-30 04:35:51.824209
03498,0000,1199,106,2024-12-30 04:35:51.840217
01522,0000,1199,106,2024-12-30 04:35:51.856215
01906,0000,1199,106,2024-12-30 04:35:51.872221
12812,0000,1199,106,2024-12-30 04:35:51.888216
21121,0000,1199,106,2024-12-30 04:35:51.904205
00994,0000,1199,106,2024-12-30 04:35:51.920196
12496,0000,1199,106,2024-12-30 04:35:51.952091
16910,0000,1199,106,2024-12-30 04:35:51.968201
02777,0000,1199,106,2024-12-30 04:35:51.984197
18735,0000,1199,106,2024-12-30 04:35:52.000194
01192,0000,1199,106,2024-12-30 04:35:52.016182
18359,0000,1199,106,2024-12-30 04:35:52.032183
01200,0000,1199,106,2024-12-30 04:35:52.048177
02195,0000,1198,106,2024-12-30 04:35:52.064176
40120,0000,1199,106,2024-12-30 04:35:52.080166
03639,0000,1199,106,2024-12-30 04:35:52.111727
13301,0000,1199,106,2024-12-30 04:35:52.128167
19508,0000,1199,106,2024-12-30 04:35:52.144166
01305,0000,1199,106,2024-12-30 04:35:52.160153
35530,0000,1199,106,2024-12-30 04:35:52.176159
14495,0000,1199,106,2024-12-30 04:35:52.192149
02613,0000,1199,106,2024-12-30 04:35:52.208151
19971,0000,1199,106,2024-12-30 04:35:52.224142
03695,0000,1199,106,2024-12-30 04:35:52.240157
30269,0000,1199,106,2024-12-30 04:35:52.256140
31619,0000,1199,106,2024-12-30 04:35:52.288110
01418,0000,1199,106,2024-12-30 04:35:52.304143
23415,0000,1199,106,2024-12-30 04:35:52.320119
28187,0000,1199,106,2024-12-30 04:35:52.336114
33995,0000,1199,106,2024-12-30 04:35:52.352115
