DIST,AMP,TEMP,VOLT,Timestamp
-0001,0244,1128,107,2024-12-29 19:39:46.035832
05505,0238,1127,107,2024-12-29 19:39:46.051783
12952,0001,1128,107,2024-12-29 19:39:46.067928
03461,0000,1128,107,2024-12-29 19:39:46.083850
01527,0000,1128,107,2024-12-29 19:39:46.099770
45420,0000,1128,107,2024-12-29 19:39:46.115766
16932,0001,1128,107,2024-12-29 19:39:46.131828
46261,0001,1127,107,2024-12-29 19:39:46.163554
28620,0000,1128,107,2024-12-29 19:39:46.179726
20675,0000,1128,107,2024-12-29 19:39:46.195722
32990,0000,1128,107,2024-12-29 19:39:46.211710
02258,0000,1128,107,2024-12-29 19:39:46.227713
09764,0000,1128,107,2024-12-29 19:39:46.243744
03726,0000,1128,107,2024-12-29 19:39:46.259711
01067,0002,1127,107,2024-12-29 19:39:46.275704
20688,0000,1127,107,2024-12-29 19:39:46.291703
01851,0000,1128,107,2024-12-29 19:39:46.323194
23896,0001,1128,107,2024-12-29 19:39:46.339696
01291,0000,1128,107,2024-12-29 19:39:46.355683
22858,0000,1128,107,2024-12-29 19:39:46.371688
06177,0001,1127,107,2024-12-29 19:39:46.387674
30705,0002,1128,107,2024-12-29 19:39:46.403674
03905,0002,1127,107,2024-12-29 19:39:46.419671
01112,0000,1128,107,2024-12-29 19:39:46.435664
29283,0000,1128,107,2024-12-29 19:39:46.451661
06578,0001,1128,107,2024-12-29 19:39:46.467662
40025,0002,1128,107,2024-12-29 19:39:46.499572
27909,0000,1128,107,2024-12-29 19:39:46.515650
58105,0000,1128,107,2024-12-29 19:39:46.531650
00534,0000,1127,107,2024-12-29 19:39:46.547673
02304,0001,1128,107,2024-12-29 19:39:46.563646
21223,0001,1128,107,2024-12-29 19:39:46.579635
02908,0001,1128,107,2024-12-29 19:39:46.595644
13955,0001,1127,107,2024-12-29 19:39:46.611628
41716,0001,1128,107,2024-12-29 19:39:46.627647
34446,0001,1128,107,2024-12-29 19:39:46.659212
03016,0001,1127,107,2024-12-29 19:39:46.675616
23963,0001,1127,107,2024-12-29 19:39:46.691609
09381,0001,1128,107,2024-12-29 19:39:46.707615
40010,0000,1128,107,2024-12-29 19:39:46.723602
02103,0001,1128,107,2024-12-29 19:39:46.739601
29110,0000,1128,107,2024-12-29 19:39:46.755610
28024,0001,1128,107,2024-12-29 19:39:46.771611
29728,0000,1127,107,2024-12-29 19:39:46.787587
28065,0001,1127,107,2024-12-29 19:39:46.803594
02006,0001,1127,107,2024-12-29 19:39:46.835585
04287,0000,1128,107,2024-12-29 19:39:46.851578
02641,0000,1128,107,2024-12-29 19:39:46.867583
31434,0000,1128,107,2024-12-29 19:39:46.883579
54195,0000,1128,107,2024-12-29 19:39:46.899583
01299,0001,1127,107,2024-12-29 19:39:46.915570
27921,0001,1127,107,2024-12-29 19:39:46.931574
58393,0000,1128,107,2024-12-29 19:39:46.947559
01154,0001,1127,107,2024-12-29 19:39:46.963561
02569,0001,1127,107,2024-12-29 19:39:46.995225
06700,0000,1127,107,2024-12-29 19:39:47.011550
58209,0001,1127,107,2024-12-29 19:39:47.027553
01944,0001,1127,107,2024-12-29 19:39:47.043540
31473,0000,1127,107,2024-12-29 19:39:47.059542
05187,0001,1127,107,2024-12-29 19:39:47.075532
03729,0001,1128,107,2024-12-29 19:39:47.091537
04547,0001,1127,107,2024-12-29 19:39:47.107533
22584,0000,1128,107,2024-12-29 19:39:47.123519
05420,0001,1128,107,2024-12-29 19:39:47.154872
05150,0001,1128,107,2024-12-29 19:39:47.171528
02976,0000,1128,107,2024-12-29 19:39:47.187526
15293,0000,1127,107,2024-12-29 19:39:47.203527
01198,0000,1127,107,2024-12-29 19:39:47.219527
03166,0000,1127,107,2024-12-29 19:39:47.235532
04524,0000,1127,107,2024-12-29 19:39:47.251565
05313,0001,1128,107,2024-12-29 19:39:47.267540
16577,0001,1128,107,2024-12-29 19:39:47.283538
03759,0001,1128,107,2024-12-29 19:39:47.299541
08974,0001,1128,107,2024-12-29 19:39:47.331272
06797,0001,1127,107,2024-12-29 19:39:47.347555
26484,0001,1128,107,2024-12-29 19:39:47.363473
03515,0001,1127,107,2024-12-29 19:39:47.379488
18896,0001,1128,107,2024-12-29 19:39:47.395471
02042,0002,1127,107,2024-12-29 19:39:47.411478
02950,0000,1128,107,2024-12-29 19:39:47.427472
26355,0000,1128,107,2024-12-29 19:39:47.443472
01500,0000,1127,107,2024-12-29 19:39:47.459457
01260,0001,1127,107,2024-12-29 19:39:47.490883
00633,0001,1127,107,2024-12-29 19:39:47.507459
13698,0000,1127,107,2024-12-29 19:39:47.523453
28395,0001,1127,107,2024-12-29 19:39:47.539453
05360,0001,1128,107,2024-12-29 19:39:47.555453
27576,0000,1127,107,2024-12-29 19:39:47.571437
27073,0000,1127,107,2024-12-29 19:39:47.587437
01237,0002,1128,107,2024-12-29 19:39:47.603428
01990,0000,1128,107,2024-12-29 19:39:47.619431
01013,0001,1127,107,2024-12-29 19:39:47.635419
26518,0000,1127,107,2024-12-29 19:39:47.667286
05464,0001,1127,107,2024-12-29 19:39:47.683429
04616,0000,1127,107,2024-12-29 19:39:47.699412
11604,0002,1127,107,2024-12-29 19:39:47.715417
01255,0001,1127,107,2024-12-29 19:39:47.731406
14508,0001,1127,107,2024-12-29 19:39:47.747411
48174,0001,1128,107,2024-12-29 19:39:47.763400
24577,0001,1128,107,2024-12-29 19:39:47.779404
10402,0001,1128,107,2024-12-29 19:39:47.795394
01391,0001,1127,107,2024-12-29 19:39:47.826902
39172,0001,1127,107,2024-12-29 19:39:47.843393
27534,0001,1127,107,2024-12-29 19:39:47.859381
53052,0001,1127,107,2024-12-29 19:39:47.875384
00646,0001,1127,107,2024-12-29 19:39:47.891375
67868,0000,1127,107,2024-12-29 19:39:47.907364
12507,0001,1127,107,2024-12-29 19:39:47.923368
04492,0001,1127,107,2024-12-29 19:39:47.939376
35470,0001,1128,107,2024-12-29 19:39:47.955372
02788,0000,1127,107,2024-12-29 19:39:47.971353
45727,0001,1128,107,2024-12-29 19:39:48.003296
22508,0002,1128,107,2024-12-29 19:39:48.019357
02274,0000,1127,107,2024-12-29 19:39:48.035340
52315,0000,1127,107,2024-12-29 19:39:48.051345
26646,0001,1128,107,2024-12-29 19:39:48.067338
01766,0001,1127,107,2024-12-29 19:39:48.083345
02249,0000,1128,107,2024-12-29 19:39:48.099331
09815,0000,1128,107,2024-12-29 19:39:48.115326
35455,0001,1128,107,2024-12-29 19:39:48.131330
04612,0001,1127,107,2024-12-29 19:39:48.162938
24520,0000,1127,107,2024-12-29 19:39:48.179323
16341,0000,1127,107,2024-12-29 19:39:48.195315
28797,0001,1127,107,2024-12-29 19:39:48.211307
04457,0002,1127,107,2024-12-29 19:39:48.227312
21621,0001,1127,107,2024-12-29 19:39:48.243317
04664,0001,1127,107,2024-12-29 19:39:48.259304
27246,0000,1127,107,2024-12-29 19:39:48.275307
01367,0001,1127,107,2024-12-29 19:39:48.291293
03473,0001,1127,107,2024-12-29 19:39:48.307295
05868,0002,1127,107,2024-12-29 19:39:48.339291
14804,0000,1127,107,2024-12-29 19:39:48.355294
06036,0001,1127,107,2024-12-29 19:39:48.371281
11540,0001,1127,107,2024-12-29 19:39:48.387271
01504,0001,1127,107,2024-12-29 19:39:48.403267
04676,0002,1127,107,2024-12-29 19:39:48.419264
05203,0001,1128,107,2024-12-29 19:39:48.435262
16980,0001,1127,107,2024-12-29 19:39:48.451260
09858,0001,1127,107,2024-12-29 19:39:48.467265
15409,0000,1127,107,2024-12-29 19:39:48.498959
03759,0001,1127,107,2024-12-29 19:39:48.515249
45537,0001,1127,107,2024-12-29 19:39:48.531247
02342,0001,1128,107,2024-12-29 19:39:48.547239
13666,0000,1127,107,2024-12-29 19:39:48.563239
10610,0001,1128,107,2024-12-29 19:39:48.579233
37841,0000,1127,107,2024-12-29 19:39:48.595230
02960,0000,1127,107,2024-12-29 19:39:48.611226
50447,0001,1127,107,2024-12-29 19:39:48.627223
20829,0000,1127,107,2024-12-29 19:39:48.658601
03875,0000,1127,107,2024-12-29 19:39:48.675219
02838,0000,1127,107,2024-12-29 19:39:48.691214
42464,0001,1127,107,2024-12-29 19:39:48.707209
04418,0000,1128,107,2024-12-29 19:39:48.723213
03416,0000,1127,107,2024-12-29 19:39:48.739212
53139,0001,1127,107,2024-12-29 19:39:48.755192
02075,0000,1127,107,2024-12-29 19:39:48.771200
04089,0002,1127,107,2024-12-29 19:39:48.787186
37681,0000,1127,107,2024-12-29 19:39:48.803190
01509,0000,1127,107,2024-12-29 19:39:48.834979
40966,0000,1127,107,2024-12-29 19:39:48.851179
04638,0000,1128,107,2024-12-29 19:39:48.867182
03976,0001,1127,107,2024-12-29 19:39:48.883167
46503,0000,1128,107,2024-12-29 19:39:48.899173
05075,0000,1127,107,2024-12-29 19:39:48.915166
23811,0001,1127,107,2024-12-29 19:39:48.931167
17036,0001,1127,107,2024-12-29 19:39:48.947153
00407,0001,1128,107,2024-12-29 19:39:48.963161
50847,0001,1127,107,2024-12-29 19:39:48.994618
