DIST,AMP,TEMP,VOLT,Timestamp
50735,0000,1218,106,2024-12-30 07:13:16.576697
05352,0000,1218,106,2024-12-30 07:13:16.577466
02722,0000,1218,106,2024-12-30 07:13:16.578167
02930,0000,1218,106,2024-12-30 07:13:16.578895
20258,0000,1218,106,2024-12-30 07:13:16.579595
12300,0000,1218,106,2024-12-30 07:13:16.580290
24016,0000,1218,106,2024-12-30 07:13:16.580986
03631,0000,1217,106,2024-12-30 07:13:16.581683
40871,0000,1218,106,2024-12-30 07:13:16.582376
26704,0001,1218,106,2024-12-30 07:13:16.583087
61902,0000,1218,106,2024-12-30 07:13:16.583784
04467,0000,1218,106,2024-12-30 07:13:16.584482
09219,0000,1218,106,2024-12-30 07:13:16.585182
03121,0000,1218,106,2024-12-30 07:13:16.585879
10993,0000,1218,106,2024-12-30 07:13:16.586601
14738,0000,1218,106,2024-12-30 07:13:16.587324
32422,0000,1218,106,2024-12-30 07:13:16.588022
02269,0000,1218,106,2024-12-30 07:13:16.588720
25644,0000,1218,106,2024-12-30 07:13:16.589417
49817,0000,1218,106,2024-12-30 07:13:16.590117
19256,0000,1218,106,2024-12-30 07:13:16.590825
04625,0000,1218,106,2024-12-30 07:13:16.591523
00120,0000,1218,106,2024-12-30 07:13:16.592223
20258,0001,1217,106,2024-12-30 07:13:16.592918
01683,0000,1218,106,2024-12-30 07:13:16.593620
06354,0000,1218,106,2024-12-30 07:13:16.594323
00928,0000,1218,106,2024-12-30 07:13:16.595037
04645,0001,1218,106,2024-12-30 07:13:16.595746
01560,0000,1218,106,2024-12-30 07:13:16.596450
06877,0000,1218,106,2024-12-30 07:13:16.597149
14074,0000,1218,106,2024-12-30 07:13:16.597850
00026,0000,1218,106,2024-12-30 07:13:16.598560
10077,0000,1218,106,2024-12-30 07:13:16.599258
-0004,0001,1218,106,2024-12-30 07:13:16.599960
00844,0000,1218,106,2024-12-30 07:13:16.600657
00265,0000,1218,106,2024-12-30 07:13:16.601352
24968,0000,1218,106,2024-12-30 07:13:16.602064
14700,0001,1218,106,2024-12-30 07:13:16.602823
06613,0000,1218,106,2024-12-30 07:13:16.603543
64434,0000,1218,106,2024-12-30 07:13:16.604285
04656,0000,1218,106,2024-12-30 07:13:16.605065
56870,0000,1218,106,2024-12-30 07:13:16.606138
21779,0000,1218,106,2024-12-30 07:13:16.606932
03116,0000,1218,106,2024-12-30 07:13:16.607636
19456,0001,1218,106,2024-12-30 07:13:16.608355
14675,0000,1218,106,2024-12-30 07:13:16.609125
39536,0000,1218,106,2024-12-30 07:13:16.609833
52626,0001,1218,106,2024-12-30 07:13:16.610565
20184,0000,1218,106,2024-12-30 07:13:16.611265
49751,0000,1218,106,2024-12-30 07:13:16.611967
03725,0001,1218,106,2024-12-30 07:13:16.612668
19408,0000,1218,106,2024-12-30 07:13:16.613368
61560,0000,1218,106,2024-12-30 07:13:16.614067
00042,0000,1218,106,2024-12-30 07:13:16.614785
14686,0000,1217,106,2024-12-30 07:13:16.615485
25936,0000,1218,106,2024-12-30 07:13:16.616185
24069,0000,1218,106,2024-12-30 07:13:16.616886
63653,0001,1218,106,2024-12-30 07:13:16.617580
00782,0000,1218,106,2024-12-30 07:13:16.618278
02264,0001,1218,106,2024-12-30 07:13:16.618987
