DIST,AMP,TEMP,VOLT,Timestamp
00003,1448,1163,106,2024-12-30 01:10:35.420114
02735,0181,1163,106,2024-12-30 01:10:35.435635
57302,0000,1163,106,2024-12-30 01:10:35.451506
09208,0000,1163,106,2024-12-30 01:10:35.467249
10128,0001,1163,106,2024-12-30 01:10:35.483220
03105,0000,1163,106,2024-12-30 01:10:35.499372
03287,0000,1163,106,2024-12-30 01:10:35.517046
05342,0000,1163,106,2024-12-30 01:10:35.531254
03636,0000,1163,106,2024-12-30 01:10:35.547218
31542,0000,1163,106,2024-12-30 01:10:35.578736
24829,0000,1163,106,2024-12-30 01:10:35.595188
03887,0000,1163,106,2024-12-30 01:10:35.611192
13858,0001,1163,106,2024-12-30 01:10:35.627184
04352,0000,1163,106,2024-12-30 01:10:35.643181
01924,0000,1163,106,2024-12-30 01:10:35.659174
48890,0001,1163,106,2024-12-30 01:10:35.675176
03661,0000,1163,106,2024-12-30 01:10:35.691171
04629,0000,1163,106,2024-12-30 01:10:35.707182
00727,0000,1163,106,2024-12-30 01:10:35.723160
18008,0000,1164,106,2024-12-30 01:10:35.755105
31620,0000,1163,106,2024-12-30 01:10:35.771165
58421,0000,1163,106,2024-12-30 01:10:35.787150
14106,0000,1163,106,2024-12-30 01:10:35.803155
02197,0000,1163,106,2024-12-30 01:10:35.819149
01659,0000,1163,106,2024-12-30 01:10:35.835146
13914,0000,1163,106,2024-12-30 01:10:35.851138
21817,0000,1163,106,2024-12-30 01:10:35.867151
20290,0000,1163,106,2024-12-30 01:10:35.883134
13812,0001,1163,106,2024-12-30 01:10:35.914758
47440,0000,1163,106,2024-12-30 01:10:35.931136
05058,0000,1163,106,2024-12-30 01:10:35.947123
23330,0000,1163,106,2024-12-30 01:10:35.963121
03041,0000,1163,106,2024-12-30 01:10:35.979127
03651,0000,1163,106,2024-12-30 01:10:35.995128
29683,0000,1164,106,2024-12-30 01:10:36.011116
29720,0000,1163,106,2024-12-30 01:10:36.027109
46351,0000,1163,106,2024-12-30 01:10:36.043114
12227,0000,1163,106,2024-12-30 01:10:36.059106
12347,0000,1163,106,2024-12-30 01:10:36.091109
00680,0000,1163,106,2024-12-30 01:10:36.107110
04543,0000,1163,106,2024-12-30 01:10:36.123117
05372,0000,1163,106,2024-12-30 01:10:36.139103
01543,0000,1163,106,2024-12-30 01:10:36.155093
02102,0000,1163,106,2024-12-30 01:10:36.171100
11953,0000,1163,106,2024-12-30 01:10:36.187091
02198,0000,1163,106,2024-12-30 01:10:36.203093
23612,0000,1163,106,2024-12-30 01:10:36.219074
24166,0000,1163,106,2024-12-30 01:10:36.250813
01681,0000,1163,106,2024-12-30 01:10:36.267088
24855,0000,1163,106,2024-12-30 01:10:36.283075
