DIST,AMP,TEMP,VOLT,Timestamp
00001,0291,1161,106,2024-12-29 20:15:09.034902
25845,0292,1161,106,2024-12-29 20:15:09.050894
11540,0000,1161,106,2024-12-29 20:15:09.066816
24305,0000,1161,106,2024-12-29 20:15:09.098241
49823,0000,1161,106,2024-12-29 20:15:09.114722
55647,0000,1161,106,2024-12-29 20:15:09.130882
05128,0000,1161,106,2024-12-29 20:15:09.146918
04577,0000,1161,106,2024-12-29 20:15:09.162716
18772,0000,1161,106,2024-12-29 20:15:09.178701
02050,0000,1161,106,2024-12-29 20:15:09.194695
01569,0000,1161,106,2024-12-29 20:15:09.210689
36309,0000,1161,106,2024-12-29 20:15:09.226690
04515,0000,1161,106,2024-12-29 20:15:09.242704
18323,0000,1161,106,2024-12-29 20:15:09.274608
03663,0000,1161,106,2024-12-29 20:15:09.290673
05449,0000,1161,106,2024-12-29 20:15:09.306709
03553,0000,1161,106,2024-12-29 20:15:09.322656
31654,0000,1161,106,2024-12-29 20:15:09.338660
04526,0000,1161,106,2024-12-29 20:15:09.354657
10601,0000,1161,106,2024-12-29 20:15:09.370658
31137,0000,1161,106,2024-12-29 20:15:09.386643
04515,0000,1161,106,2024-12-29 20:15:09.402645
01313,0000,1161,106,2024-12-29 20:15:09.434234
13687,0000,1161,106,2024-12-29 20:15:09.450626
01908,0000,1161,106,2024-12-29 20:15:09.466634
26127,0000,1160,106,2024-12-29 20:15:09.482636
01185,0000,1161,106,2024-12-29 20:15:09.498641
07610,0000,1161,106,2024-12-29 20:15:09.514629
02918,0000,1161,106,2024-12-29 20:15:09.530627
22695,0000,1161,106,2024-12-29 20:15:09.546648
05190,0000,1161,106,2024-12-29 20:15:09.562623
13765,0000,1161,106,2024-12-29 20:15:09.578618
21575,0000,1161,106,2024-12-29 20:15:09.610607
00643,0000,1161,106,2024-12-29 20:15:09.626616
01984,0000,1161,106,2024-12-29 20:15:09.642601
29827,0000,1161,106,2024-12-29 20:15:09.658603
48057,0000,1161,106,2024-12-29 20:15:09.674597
01225,0000,1161,106,2024-12-29 20:15:09.690591
18883,0000,1161,106,2024-12-29 20:15:09.706592
28979,0000,1161,106,2024-12-29 20:15:09.722581
