DIST,AMP,TEMP,VOLT,Timestamp
00000,0349,1200,106,2024-12-30 04:04:17.619101
10161,0343,1200,106,2024-12-30 04:04:17.635566
01861,0000,1199,106,2024-12-30 04:04:17.651033
13733,0000,1200,106,2024-12-30 04:04:17.666982
15264,0000,1200,106,2024-12-30 04:04:17.682942
04413,0000,1200,106,2024-12-30 04:04:17.698909
03026,0000,1200,106,2024-12-30 04:04:17.715084
02967,0000,1200,106,2024-12-30 04:04:17.747007
19660,0000,1200,106,2024-12-30 04:04:17.762912
03945,0000,1200,106,2024-12-30 04:04:17.778896
39312,0000,1200,106,2024-12-30 04:04:17.794889
05057,0000,1200,106,2024-12-30 04:04:17.810881
00092,0000,1200,106,2024-12-30 04:04:17.826885
01473,0000,1200,106,2024-12-30 04:04:17.842881
01460,0000,1200,106,2024-12-30 04:04:17.858887
03110,0000,1200,106,2024-12-30 04:04:17.874880
30919,0000,1199,106,2024-12-30 04:04:17.906544
09077,0000,1200,106,2024-12-30 04:04:17.922869
68499,0000,1200,106,2024-12-30 04:04:17.938861
03655,0000,1200,106,2024-12-30 04:04:17.954863
18656,0000,1200,106,2024-12-30 04:04:17.970853
05422,0000,1200,106,2024-12-30 04:04:17.986855
40091,0000,1199,106,2024-12-30 04:04:18.002858
28079,0000,1200,106,2024-12-30 04:04:18.018858
01398,0000,1200,106,2024-12-30 04:04:18.034838
03716,0000,1200,106,2024-12-30 04:04:18.066150
30297,0001,1200,106,2024-12-30 04:04:18.082843
01265,0000,1200,106,2024-12-30 04:04:18.098835
19765,0000,1200,106,2024-12-30 04:04:18.114826
05379,0000,1200,106,2024-12-30 04:04:18.130862
10902,0000,1200,106,2024-12-30 04:04:18.146836
36270,0000,1200,106,2024-12-30 04:04:18.162820
05290,0000,1200,106,2024-12-30 04:04:18.178822
00986,0000,1200,106,2024-12-30 04:04:18.194815
35271,0000,1199,106,2024-12-30 04:04:18.210825
04086,0000,1200,106,2024-12-30 04:04:18.242592
03623,0000,1200,106,2024-12-30 04:04:18.258804
04260,0000,1200,106,2024-12-30 04:04:18.274807
03803,0000,1199,106,2024-12-30 04:04:18.290805
21367,0000,1199,106,2024-12-30 04:04:18.306806
02027,0000,1200,106,2024-12-30 04:04:18.322808
